3|Sunday, September 25, 2022 at 4:25 PM -0500|Green Bay Packers|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
3|Sunday, September 25, 2022 at 8:20 PM -0500|San Francisco 49ers|Denver Broncos|Empower Field at Mile High, Denver
3|Monday, September 26, 2022 at 8:15 PM -0500|Dallas Cowboys|New York Giants|MetLife Stadium, East Rutherford
4|Thursday, September 29, 2022 at 8:15 PM -0500|Miami Dolphins|Cincinnati Bengals|Paycor Stadium, Cincinnati
4|Sunday, October 02, 2022 at 9:30 AM -0500|Minnesota Vikings|New Orleans Saints|Tottenham Hotspur Stadium, London
4|Sunday, October 02, 2022 at 1:00 PM -0500|Cleveland Browns|Atlanta Falcons|Mercedes-Benz Stadium, Atlanta
4|Sunday, October 02, 2022 at 1:00 PM -0500|Washington Commanders|Dallas Cowboys|AT&T Stadium, Arlington
4|Sunday, October 02, 2022 at 1:00 PM -0500|Seattle Seahawks|Detroit Lions|Ford Field, Detroit
4|Sunday, October 02, 2022 at 1:00 PM -0500|Tennessee Titans|Indianapolis Colts|Lucas Oil Stadium, Indianapolis
4|Sunday, October 02, 2022 at 1:00 PM -0500|Chicago Bears|New York Giants|MetLife Stadium, East Rutherford
4|Sunday, October 02, 2022 at 1:00 PM -0500|Jacksonville Jaguars|Philadelphia Eagles|Lincoln Financial Field, Philadelphia
4|Sunday, October 02, 2022 at 1:00 PM -0500|New York Jets|Pittsburgh Steelers|Acrisure Stadium, Pittsburgh
4|Sunday, October 02, 2022 at 1:00 PM -0500|Buffalo Bills|Baltimore Ravens|M&T Bank Stadium, Baltimore
4|Sunday, October 02, 2022 at 1:00 PM -0500|Los Angeles Chargers|Houston Texans|NRG Stadium, Houston
4|Sunday, October 02, 2022 at 4:05 PM -0500|Arizona Cardinals|Carolina Panthers|Bank of America Stadium, Charlotte
4|Sunday, October 02, 2022 at 4:25 PM -0500|New England Patriots|Green Bay Packers|Lambeau Field, Green Bay
4|Sunday, October 02, 2022 at 4:25 PM -0500|Denver Broncos|Las Vegas Raiders|Allegiant Stadium, Las Vegas
4|Sunday, October 02, 2022 at 8:20 PM -0500|Kansas City Chiefs|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
4|Monday, October 03, 2022 at 8:15 PM -0500|Los Angeles Rams|San Francisco 49ers|Levi's Stadium, Santa Clara
5|Thursday, October 06, 2022 at 8:15 PM -0500|Indianapolis Colts|Denver Broncos|Empower Field at Mile High, Denver
5|Sunday, October 09, 2022 at 9:30 AM -0500|New York Giants|Green Bay Packers|Tottenham Hotspur Stadium, London
5|Sunday, October 09, 2022 at 1:00 PM -0500|Pittsburgh Steelers|Buffalo Bills|Highmark Stadium, Orchard Park
